Start frame:466, End frame:466, Time taken:7 microseconds
Start frame:467, End frame:467, Time taken:7 microseconds
Start frame:468, End frame:468, Time taken:7 microseconds
Start frame:469, End frame:469, Time taken:8 microseconds
Start frame:470, End frame:470, Time taken:7 microseconds
Start frame:471, End frame:471, Time taken:7 microseconds
Start frame:472, End frame:472, Time taken:8 microseconds
Start frame:473, End frame:473, Time taken:7 microseconds
Start frame:474, End frame:474, Time taken:10 microseconds
Start frame:475, End frame:475, Time taken:7 microseconds
Start frame:476, End frame:476, Time taken:7 microseconds
Start frame:477, End frame:477, Time taken:7 microseconds
Start frame:478, End frame:478, Time taken:7 microseconds
Start frame:479, End frame:479, Time taken:8 microseconds
Start frame:480, End frame:480, Time taken:7 microseconds
Start frame:481, End frame:481, Time taken:7 microseconds
Start frame:482, End frame:482, Time taken:8 microseconds
Start frame:483, End frame:483, Time taken:7 microseconds
Start frame:484, End frame:484, Time taken:13 microseconds
Start frame:485, End frame:485, Time taken:7 microseconds
Start frame:486, End frame:486, Time taken:16 microseconds
Start frame:487, End frame:487, Time taken:15 microseconds
Start frame:488, End frame:488, Time taken:7 microseconds
Start frame:489, End frame:489, Time taken:7 microseconds
Start frame:490, End frame:490, Time taken:7 microseconds
Start frame:491, End frame:491, Time taken:7 microseconds
Start frame:492, End frame:492, Time taken:8 microseconds
Start frame:493, End frame:493, Time taken:7 microseconds
Start frame:494, End frame:494, Time taken:13 microseconds
Start frame:495, End frame:495, Time taken:12 microseconds
Start frame:496, End frame:496, Time taken:8 microseconds
Start frame:497, End frame:497, Time taken:7 microseconds
Start frame:498, End frame:498, Time taken:9 microseconds
Start frame:499, End frame:499, Time taken:11 microseconds
Start frame:500, End frame:500, Time taken:7 microseconds
Start frame:501, End frame:501, Time taken:7 microseconds
Start frame:502, End frame:502, Time taken:7 microseconds
Start frame:503, End frame:503, Time taken:7 microseconds
Start frame:504, End frame:504, Time taken:12 microseconds
Start frame:505, End frame:505, Time taken:7 microseconds
Start frame:506, End frame:506, Time taken:8 microseconds
Start frame:507, End frame:507, Time taken:7 microseconds
Start frame:508, End frame:508, Time taken:7 microseconds
Start frame:509, End frame:509, Time taken:8 microseconds
Start frame:510, End frame:510, Time taken:7 microseconds
Start frame:511, End frame:511, Time taken:7 microseconds
Start frame:512, End frame:512, Time taken:7 microseconds
Start frame:513, End frame:513, Time taken:7 microseconds
Start frame:514, End frame:514, Time taken:8 microseconds
Start frame:515, End frame:515, Time taken:11 microseconds
Start frame:516, End frame:516, Time taken:7 microseconds
Start frame:517, End frame:517, Time taken:7 microseconds
Start frame:518, End frame:518, Time taken:7 microseconds
Start frame:519, End frame:519, Time taken:12 microseconds
Start frame:520, End frame:520, Time taken:7 microseconds
Start frame:521, End frame:521, Time taken:7 microseconds
Start frame:522, End frame:522, Time taken:7 microseconds
Start frame:523, End frame:523, Time taken:7 microseconds
Start frame:524, End frame:524, Time taken:7 microseconds
Start frame:525, End frame:525, Time taken:10 microseconds
Start frame:526, End frame:526, Time taken:10 microseconds
Start frame:527, End frame:527, Time taken:7 microseconds
Start frame:528, End frame:528, Time taken:7 microseconds
Start frame:529, End frame:529, Time taken:9 microseconds
Start frame:530, End frame:530, Time taken:8 microseconds
Start frame:531, End frame:531, Time taken:7 microseconds
Start frame:532, End frame:532, Time taken:7 microseconds
Start frame:533, End frame:533, Time taken:8 microseconds
Start frame:534, End frame:534, Time taken:11 microseconds
Start frame:535, End frame:535, Time taken:13 microseconds
Start frame:536, End frame:536, Time taken:7 microseconds
Start frame:537, End frame:537, Time taken:7 microseconds
Start frame:538, End frame:538, Time taken:7 microseconds
Start frame:539, End frame:539, Time taken:15 microseconds
Start frame:540, End frame:540, Time taken:7 microseconds
Start frame:541, End frame:541, Time taken:8 microseconds
Start frame:542, End frame:542, Time taken:7 microseconds
Start frame:543, End frame:543, Time taken:7 microseconds
Start frame:544, End frame:544, Time taken:7 microseconds
Start frame:545, End frame:545, Time taken:7 microseconds
Start frame:546, End frame:546, Time taken:7 microseconds
Start frame:547, End frame:547, Time taken:7 microseconds
Start frame:548, End frame:548, Time taken:7 microseconds
Start frame:549, End frame:549, Time taken:10 microseconds
Start frame:550, End frame:550, Time taken:7 microseconds
Start frame:551, End frame:551, Time taken:12 microseconds
Start frame:552, End frame:552, Time taken:7 microseconds
Start frame:553, End frame:553, Time taken:7 microseconds
Start frame:554, End frame:554, Time taken:8 microseconds
Start frame:555, End frame:555, Time taken:7 microseconds
Start frame:556, End frame:556, Time taken:8 microseconds
Start frame:557, End frame:557, Time taken:7 microseconds
Start frame:558, End frame:558, Time taken:7 microseconds
